CASE,RW01_01,RW01_02,RW01_03,RW01_04,RW01_05,RW01_06,RW01_07,RW01_08,RW01_09,RW01_10,RW01_11,RW01_12,RW01_13,RW01_14,RW01_15
1165,9,1,9,1,5,9,9,1,5,8,9,1,9,3,9
1166,9,1,9,1,9,1,9,2,9,9,9,3,7,9,9
1167,9,4,9,3,9,9,9,1,9,2,1,3,9,9,9
1169,9,2,7,1,5,1,1,1,7,5,7,4,6,1,9
1174,8,3,9,3,6,4,7,3,7,3,9,4,7,3,8
1176,4,1,1,1,1,4,3,1,9,3,3,1,4,1,7
1178,9,2,8,2,8,2,8,2,8,2,8,2,8,2,8
1179,6,2,2,2,1,3,2,3,8,4,8,2,9,2,8
1180,7,2,6,1,7,5,5,2,8,2,7,3,7,4,7
1182,8,6,5,3,7,5,9,3,4,9,9,9,9,6,7
1185,7,5,7,3,5,4,4,3,6,5,7,3,7,3,7
1187,5,5,6,4,5,5,5,4,5,5,6,5,5,4,6
1191,9,3,7,1,6,6,9,1,7,3,9,2,9,4,9
1193,9,1,9,1,9,4,9,1,4,9,9,9,9,1,9
1199,8,8,8,2,9,8,9,3,8,2,9,6,9,9,8
1201,9,6,9,1,9,1,9,1,9,1,9,1,9,9,9
1203,8,3,6,1,4,7,7,2,6,6,9,3,8,3,6
1204,7,4,6,1,5,2,9,4,7,3,8,3,9,2,8
1205,9,1,9,1,7,3,9,2,8,2,7,4,9,1,9
1206,8,3,8,3,9,3,9,4,9,9,9,3,9,2,8
1207,9,1,9,1,9,1,9,1,9,5,9,1,1,1,9
1210,9,5,9,1,9,4,9,5,9,9,9,7,9,1,7
1211,9,8,9,1,8,8,8,1,6,8,9,9,7,3,9
1214,9,5,8,2,5,2,9,2,7,2,8,3,9,7,8
1223,9,3,9,1,5,4,9,4,9,4,8,2,9,2,9
1225,8,3,8,2,8,2,8,3,7,3,8,3,8,3,8
1231,9,5,9,1,6,3,9,5,8,3,9,6,8,4,9
1232,9,5,9,2,8,8,8,4,7,9,9,8,9,7,9
1234,9,3,9,1,9,2,9,8,7,7,9,8,9,3,9
1237,9,3,8,3,9,4,8,1,7,3,9,6,9,9,9
1239,9,7,9,2,9,3,9,3,9,7,9,3,9,1,9
1246,9,2,8,2,8,3,9,1,7,2,9,7,9,9,9
1247,8,3,9,2,9,6,8,4,8,8,8,7,8,3,8
1248,1,2,9,1,8,4,9,1,9,3,9,1,9,3,9
1249,6,6,5,4,4,6,3,4,4,7,6,7,6,5,6
1251,7,6,9,1,6,5,8,4,7,4,9,7,9,5,8
1252,9,3,9,2,9,3,7,3,9,8,8,2,8,7,9
1253,9,6,8,1,8,3,3,2,8,5,8,3,8,2,9
1254,8,8,9,2,9,5,9,3,5,9,9,9,8,9,8
1255,7,6,6,4,7,5,7,3,5,8,7,6,6,3,7
1256,9,2,9,1,9,1,8,9,8,2,4,3,9,1,8
1264,7,2,7,4,6,3,7,3,3,3,8,4,9,5,7
1265,7,2,5,3,5,4,5,3,5,5,6,5,8,3,6
1267,9,7,9,1,8,5,4,3,8,9,8,6,4,2,8
1271,8,1,8,1,8,3,9,3,7,1,8,6,6,1,7
1279,9,6,8,3,5,5,9,4,9,5,9,8,9,8,7
1282,9,3,8,3,9,7,7,3,8,9,9,9,9,5,7
1284,6,7,5,1,3,5,5,5,6,8,6,1,9,3,6
1285,9,7,5,3,9,6,8,4,7,9,9,8,9,5,9
1286,7,4,9,1,7,3,7,3,7,9,7,7,8,3,9
1289,9,1,8,3,8,5,9,2,8,1,8,3,9,3,8
